IMDB ID	Rotten Tomatoes ID	Title	Action & Adventure	Animation	Art House & International	Classics	Comedy	Cult Movies	Documentary	Drama	Horror	Kids & Family	Musical & Performing Arts	Mystery & Suspense	Romance	Science Fiction & Fantasy	Special Interest	Television	Western	Critics Score	Audience Score	Audience Rating	Critics Rating	runtime	year	mpaa_rating	actor1	character1	actor2	character2	actor3	character3	actor4	character4	actor5	character5	Budget	Gross	Oscar Wins	Oscar Nominations
0158983	12918	"South Park: Bigger, Longer and Uncut"	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	81	88	Upright	Certified Fresh	80	1999	"R"	Trey Parker	Eric Cartman	Matt Stone	Kyle Broflovski/Kenny McCormick	Mary Kay Bergman	Mrs. Cartman	Isaac Hayes	Chef	Jesse Howell		21000000	52008288	0	1	
0111503	16394	"True Lies"	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	72	76	Upright	Fresh	141	1994	"R"	Arnold Schwarzenegger	Harry Tasker	Jamie Lee Curtis	Helen Tasker	Tom Arnold	Albert 'Gib' Gibson	Bill Paxton	Simon	Tia Carrere	Juno Skinner	115000000	146261000	0	1	
0106308	13043	"Army of Darkness"	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	71	87	Upright	Fresh	81	1993	"R"	Bruce Campbell	Ash (Ashley J. Williams)	Embeth Davidtz	Sheila/Evil Sheila	Marcus Gilbert	Arthur	Ian Abercrombie	Wiseman	Richard Grove	Duke Henry	13000000	11502976	0	0	
0181865	14849	"Traffic"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	92	85	Upright	Certified Fresh	147	2000	"R"	Michael Douglas	Robert Wakefield	Don Cheadle	Montel Gordon	Benicio Del Toro	Javier Rodriguez	Luis Guzman	Ray Castro	Dennis Quaid	Arnie Metzger	48000000	124107476	4	1	
0083987	10197	"Gandhi"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	89	93	Upright	Certified Fresh	191	1982	"PG"	Ben Kingsley	Mahatma Gandhi	Candice Bergen	Margaret Bourke-White	Edward Fox	Gen. Dyer	John Gielgud	Lord Irwin	Trevor Howard	Judge Broomfield	22000000	52767889	8	3	
0086393	12037	"Superman III"	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	26	24	Spilled	Rotten	125	1983	"PG"	Christopher Reeve	Clark Kent/Superman	Richard Pryor	Gus Gorman	Jackie Cooper	Perry White	Marc McClure	Jimmy Olsen	Annette O'Toole	Lana Lang			0	0	
0147800	10180	"10 Things I Hate About You"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	61	69	Upright	Fresh	97	1999	"PG-13"	Heath Ledger	Patrick Verona	Julia Stiles	Katarina Stratford	Joseph Gordon-Levitt	Cameron James	Larisa Oleynik	Bianca Stratford	David Krumholtz	Michael Eckman	16000000	38176108	0	0	
0166110	15373	"Bones"	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	22	39	Spilled	Rotten	95	2001	"R"	Snoop Dogg	Jimmy Bones	Pam Grier	Pearl	Michael T. Weiss	Lupovich	Clifton Powell	Jeremiah Peet	Ricky Harris	Eddie Mack	16000000	7307756	0	0	
0112573	12866	"Braveheart"	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	81	85	Upright	Certified Fresh	177	1995	"R"	Mel Gibson	William Wallace	Sophie Marceau	Princess Isabelle	Patrick McGoohan	Edward I Longshanks	Catherine McCormack	Murron	Brendan Gleeson	Hamish	72000000	75609945	5	5	
0079417	11122	"Kramer vs. Kramer"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	86	89	Upright	Fresh	105	1979	"PG"	Dustin Hoffman	Ted Kramer	Meryl Streep	Joanna Kramer	Justin Henry	Billy Kramer	Jane Alexander	Margaret Phelps	Howard Duff	John Shaunessy			5	4	
