IMDB ID	Oscar Wins	Nominations
0147800	0	0	
0114746	0	2	
0146309	0	0	
0179626	0	0	
0120188	0	0	
0134273	0	0	
0096754	1	3	
0118571	0	2	
0078748	1	1	
0094631	0	0	
0090605	2	5	
0086879	8	3	
0244000	0	0	
0163651	0	0	
0082010	1	0	
0254099	0	0	
0120587	0	0	
0053604	5	5	
0119822	2	5	
0112401	0	0	
0118655	0	0	
0118661	0	0	
0072684	4	3	
0103772	0	2	
0096895	1	0	
0103776	0	2	
0115641	0	0	
0078841	1	1	
0095250	0	0	
0268995	0	0	
0187738	0	0	
0083658	0	2	
0221027	0	0	
0037549	0	0	
0163988	0	0	
0092699	0	7	
0103893	0	0	
0112641	0	1	
0209958	0	1	
0071315	1	10	
0124315	2	5	
0109445	0	0	
0112722	0	0	
0139134	0	0	
0104036	1	5	
0069945	0	0	
0077416	5	4	
0072890	1	5	
0023969	0	0	
0131369	0	0	
0126886	0	1	
0097289	0	0	
0082348	0	1	
0097322	0	4	
0119094	0	1	
0116282	2	5	
0083929	0	0	
0195714	0	0	
0309593	0	0	
0065724	0	4	
0240510	0	0	
0329101	0	0	
0186151	0	0	
0097388	0	0	
0211443	0	0	
0083987	8	3	
0288477	0	0	
0162346	0	1	
0071562	6	5	
0187078	0	0	
0099703	0	4	
0119229	0	0	
0077651	0	0	
0171363	0	0	
0097493	0	0	
0095294	0	0	
0093177	0	0	
0185371	0	0	
0102070	0	0	
0036027	0	0	
0119349	0	0	
0116629	1	1	
0097576	1	2	
0087469	1	1	
0140352	0	7	
0099871	0	0	
0073195	3	1	
0102138	2	6	
0067309	1	1	
0119488	2	7	
0104691	1	0	
0097737	0	0	
0264796	0	0	
0165854	0	0	
0185431	0	0	
0199725	0	0	
0066026	1	4	
0175880	0	3	
0091474	0	0	
0070379	0	0	
0209144	0	2	
0064665	3	4	
0077928	2	4	
0119675	0	0	
0100157	1	0	
0120755	0	0	
0093565	3	3	
0031679	1	10	
0119280	0	2	
0166924	0	1	
0110632	0	0	
0195945	0	0	
0107688	0	1	
0093629	0	0	
0171580	0	0	
0190590	0	2	
0258000	0	0	
0187393	0	3	
0213149	1	3	
0098084	0	0	
0107818	2	3	
0134847	0	0	
0091763	4	4	
0054215	0	4	
0272338	0	0	
0239860	0	0	
0081398	2	6	
0102753	0	2	
0089880	0	1	
0048545	0	3	
0199753	0	0	
0120004	0	0	
0120801	0	0	
