IMDB ID	budget	gross
0147800	16000000	38176108
0103594	40000000	7191399
0179626	42000000	24375436
0062622	10500000	
0083511		
0134273	40000000	36283504
0112594		
0104257	40000000	141340178
0120770	17000000	30324946
0093629	4500000	44053755
0281358	11000000	41227069
0088683		
0118571	85000000	172650002
0078748	11000000	80930630
0094631	16000000	25216243
0118583	75000000	47748610
0103644	63000000	54780116
0090605	18500000	77632096
0086879	18000000	366401
0169547	15000000	130058047
0120586	7500000	6712241
0244000	35000000	13264986
0163651	11000000	101736215
0082010	10000000	20445527
0118617	53000000	58297830
0075686	4000000	38251425
0120587	60000000	90646554
0078788	31500000	4626290
0106302		
0106303	6000000	
0120591	140000000	201573391
0106308	13000000	11502976
0119822	50000000	147637474
0112401	50000000	30306268
0132512	60000000	22326247
0118655	17000000	53868030
0145660	33000000	205399422
0215545	10000000	2185266
0072684	11000000	20000000
0103772	49000000	117727000
0096895	35000000	251188924
0103776	80000000	162744850
0015648		
0077215	3000000	
0118689	22000000	45298656
0115641	12000000	63071133
0078841		
0096933	30000000	45645204
0187738	54000000	81645152
0083658	28000000	32868943
0118745		
0221027	30000000	52937130
0090756	6000000	7200346
0106453	30000000	13275426
0181984	8000000	16938179
0166110	16000000	7307756
0061418	2500000	50700000
0118749	15000000	26384919
0115736	4500000	3798532
0112573	72000000	75609945
0088846	15000000	6500000
0163988	32000000	16640210
0092699	20000000	51249404
0103893	7000000	16624456
0094812	7000000	50888729
0031679	1500000	
0112641	52000000	42438300
0056923	4000000	13474588
0175526	14000000	
0163579	70000000	11227940
0071315	6000000	30000000
0033467	686033	1140769
0145487	139000000	403706375
0109445	230000	3151130
0061512		
0112722	20000000	32051917
0115964	9000000	3168660
0190332	15000000	128067808
0139134	10500000	38201895
0167099		
0069945	60000	
0088993	3500000	5804262
0097165	16400000	95860116
0118956	45000000	11146409
0097216	6500000	27545445
0072890		
0120655	10000000	30651422
0057012	1800000	9440272
0023969		
0087182	40000000	30925690
0131369	80000000	22362500
0126886	8000000	14879556
0097289		
0116225	50000000	25477365
0092991	3600000	10900000
0082348		
0119094	80000000	112225777
0060397		
0116282	7000000	24611975
0083929	4500000	27092880
0195714	23000000	53302314
0309593	26000000	46455802
0065724	1600000	18099091
0329101	25000000	82163317
0186151	31000000	44983704
0080761	550000	5816321
0083972	4000000	33312481
0097388	5000000	14335525
0091080	3000000	18964359
0116367	18000000	25753840
0093058	17000000	46357676
0119173	50000000	48154732
0177789	45000000	71423726
0083987	22000000	52767889
0217505	97000000	77679638
0113161	30250000	72077000
0288477	35000000	30079316
0162346	7000000	6200756
0087332	32000000	238632124
0097428	37000000	112494738
0172495	103000000	187705427
0120685	130000000	136023813
0187078	90000000	101643008
0119217	10000000	138339411
0119229	15000000	28014536
0113243		
0077651	325000	47000000
0095271	5000000	17768757
0120694	17000000	55004135
0097493	3000000	1108462
0095294		
0093177	1000000	13928408
0146882	20000000	27277055
0091203	16000000	5735847
0110027	26000000	13994773
0251736	7000000	12634962
0116573		
0185371	19000000	40846082
0102070	70000000	17218080
0130018	65000000	39989008
0036027		
0116629	75000000	306169255
0097576	48000000	197171806
0087469	28000000	179870271
0110148	60000000	105264608
0045917	290000	
0038650	3180000	
0119396	12000000	39647595
0099871	25000000	26118851
0211443	11000000	12610731
0073195	8000000	26860259
0077766	20000000	9866023
0085750	20500000	42245180
0093300	23000000	20763013
0116695	50000000	153620822
0102138	40000000	70405498
0099892		
0107290	63000000	402348347
0067309	2500000	
0104627		
0079417		
0119488	35000000	64604977
0053619		
0089469	30000000	12297710
0110413		19251002
0097737		
0264796	18000000	15652637
0185431	80000000	39442871
0120735		
