SMITH	 2,501,922	1.006	1
JOHNSON	 2,014,470	0.81	2
WILLIAMS	 1,738,413	0.699	3
JONES	 1,544,427	0.621	4
BROWN	 1,544,427	0.621	5
DAVIS	 1,193,760	0.48	6
MILLER	 1,054,488	0.424	7
WILSON	 843,093	0.339	8
MOORE	 775,944	0.312	9
TAYLOR	 773,457	0.311	10
ANDERSON	 773,457	0.311	11
THOMAS	 773,457	0.311	12
JACKSON	 770,970	0.31	13
WHITE	 693,873	0.279	14
HARRIS	 683,925	0.275	15
MARTIN	 678,951	0.273	16
THOMPSON	 669,003	0.269	17
GARCIA	 631,698	0.254	18
MARTINEZ	 581,958	0.234	19
ROBINSON	 579,471	0.233	20
CLARK	 574,497	0.231	21
RODRIGUEZ	 569,523	0.229	22
LEWIS	 562,062	0.226	23
LEE	 547,140	0.22	24
WALKER	 544,653	0.219	25
