,IMDB ID,Rotten Tomatoes ID,Title,Action & Adventure,Animation,Art House & International,Classics,Comedy,Cult Movies,Documentary,Drama,Horror,Kids & Family,Musical & Performing Arts,Mystery & Suspense,Romance,Science Fiction & Fantasy,Special Interest,Television,Western,Critics Score,Audience Score,Audience Rating,Critics Rating,runtime,year,mpaa_rating,actor1,character1,actor2,character2,actor3,character3,actor4,character4,actor5,character5,Budget,Gross,IMDB ID.1,Oscar Wins,Oscar Nominations,number,num_missing,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,length
0,0147800,10180,10 Things I Hate About You,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,69,Upright,Fresh,97.0,1999,PG-13,Heath Ledger,Patrick Verona,Julia Stiles,Katarina Stratford,Joseph Gordon-Levitt,Cameron James,Larisa Oleynik,Bianca Stratford,David Krumholtz,Michael Eckman,16000000.0,38176108.0,147800,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44272102022039606,0.0,0.0,0.0,0.0,0.04139048374053713,0.0,0.030682287855998424,0.3533888338969956,0.0,0.0,0.0,0.0,0.0,0.0,0.0457287423330776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08224459621544292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.0
357,0092005,16272,Stand by Me,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,92,Upright,Certified Fresh,87.0,1986,R,Wil Wheaton,Gordie Lachance,River Phoenix,Chris Chambers,Corey Feldman,Teddy Duchamp,Jerry O'Connell,Vern Tessio,Richard Dreyfuss,The Writer,8000000.0,51914208.0,92005,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013365601156849016,0.0,0.0,0.05626147307722306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47848141461849236,0.0,0.0,0.0,0.0,0.14111021721076686,0.0,0.0,0.0,0.0,0.0,0.01429386720418028,0.0,0.0,0.0,0.29561093270858463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0
219,0088846,13466,Brazil,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,98,91,Upright,Certified Fresh,131.0,1985,R,Jonathan Pryce,Sam Lowry,Michael Palin,Jack Lint,Kim Greist,Jill Layton,Robert De Niro,Harry Tuttle,Katherine Helmond,Ida Lowrey,15000000.0,6500000.0,88846,0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15576033886687318,0.0,0.0,0.0,0.0,0.0,0.0,0.15813853814922837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5214142063543105,0.0,0.0,0.0,0.0,0.0840920269465159,0.0,0.0,0.0,0.0,0.0,0.0,0.019416407935108106,0.0,0.0,0.0,0.0,0.0387342289066101,0.0,0.0,0.0,4816.0
218,0112573,12866,Braveheart,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,81,85,Upright,Certified Fresh,177.0,1995,R,Mel Gibson,William Wallace,Sophie Marceau,Princess Isabelle,Patrick McGoohan,Edward I Longshanks,Catherine McCormack,Murron,Brendan Gleeson,Hamish,72000000.0,75609945.0,112573,5,5,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17101192640271554,0.0,0.0,0.0,0.12600711923342428,0.0,0.0,0.0,0.0,0.0,0.0,0.3418442154570182,0.0,0.14537596928329627,0.03325654775805947,0.0,0.0,0.0,0.0,0.0,0.0,0.16136840177290698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010249716713964518,4004.0
217,0115736,13080,Bound,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,92,82,Upright,Fresh,107.0,1996,R,Jennifer Tilly,Violet,Gina Gershon,Corky,Joe Pantoliano,Caesar,Barry Kivel,Shelly,Christopher Meloni,Johnnie Marconi,4500000.0,3798532.0,115736,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13299902092690724,0.0,0.0,0.0,0.0,0.0,0.0,0.43918586761781336,0.0,0.0,0.0,0.0,0.0,0.0,0.41831421507433364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450.0
216,0118749,14134,Boogie Nights,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,92,89,Upright,Certified Fresh,155.0,1997,R,Mark Wahlberg,Eddie Adams/Dirk Diggler,Burt Reynolds,Jack Horner,Julianne Moore,Amber Waves,John C. Reilly,Reed Rothchild,Don Cheadle,Buck Swope,15000000.0,26384919.0,118749,0,3,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04302704107278625,0.0,0.0,0.70903822133442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14588222988693553,0.011317294031688121,0.0166020586394063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05665601879344008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414.0
215,0061418,13095,Bonnie and Clyde,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,90,88,Upright,Certified Fresh,111.0,1967,R,Warren Beatty,Clyde Barrow,Gene Hackman,Buck Barrow,Faye Dunaway,Bonnie Parker,Michael J. Pollard,C.W. Moss,Estelle Parsons,Blanche,2500000.0,50700000.0,61418,2,8,,1,0.0,0.0,0.0,0.0,0.01572874970492411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08040285189057504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41574030197742406,0.0,0.011529395658278393,0.0,0.0,0.0,0.0,0.4112867812953056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02783417701643882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3744.0
214,0166110,15373,Bones,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22,39,Spilled,Rotten,95.0,2001,R,Snoop Dogg,Jimmy Bones,Pam Grier,Pearl,Michael T. Weiss,Lupovich,Clifton Powell,Jeremiah Peet,Ricky Harris,Eddie Mack,16000000.0,7307756.0,166110,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08233771536035103,0.0,0.0,0.0,0.0,0.0,0.0,0.4985407848817422,0.11038567114293134,0.0,0.0,0.0,0.0,0.0,0.0,0.04451784149519371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10005796385805575,0.0,0.0,0.0,0.15152453583244418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3859.0
213,0181984,13037,Boiler Room,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,67,79,Upright,Fresh,119.0,2000,R,Giovanni Ribisi,Seth Davis,Vin Diesel,Chris Varick,Nia Long,Abby Halperin,Nicky Katt,Greg Feinstein,Scott Caan,Richie,8000000.0,16938179.0,181984,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05143287943562009,0.0,0.8526426588661515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033198144776011865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011560584326528043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031761218145464516,0.0,0.0,0.0,2877.0
212,0106453,17291,Body of Evidence,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,23,Spilled,Rotten,99.0,1993,R,Madonna,Rebecca Carlson,Willem Dafoe,Frank Dulaney,Anne Archer,Joanne Braslow,Joe Mantegna,Robert Garrett,Julianne Moore,Sharon Dulaney,30000000.0,13275426.0,106453,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21198099497425046,0.0,0.0,0.390715203346924,0.0,0.0,0.0,0.0,0.0,0.0,0.010415224433075514,0.0,0.0,0.0,0.0,0.0,0.0,0.062166665803325305,0.2700015544128733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03717496707735298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.0
